AC090498.1 ENSG00000279483	AC090498 1 ENSG00000279483
AC138969.4 ENSG00000183889	AC138969 4 ENSG00000183889
AL589743.1 ENSG00000279508	AL589743 1 ENSG00000279508
CTB-50L17.10 ENSG00000167674	CTB 50L17 10 ENSG00000167674
FO538757.1 ENSG00000279457	FO538757 1 ENSG00000279457
HLA-A ENSG00000206503	HLA A ENSG00000206503
HLA-B ENSG00000234745	HLA B ENSG00000234745
HLA-C ENSG00000204525	HLA C ENSG00000204525
HLA-DMA ENSG00000204257	HLA DMA ENSG00000204257
HLA-DMB ENSG00000242574	HLA DMB ENSG00000242574
HLA-DPA1 ENSG00000231389	HLA DPA1 ENSG00000231389
HLA-DPB1 ENSG00000223865	HLA DPB1 ENSG00000223865
HLA-DQB1 ENSG00000179344	HLA DQB1 ENSG00000179344
HLA-DRA ENSG00000204287	HLA DRA ENSG00000204287
HLA-DRB1 ENSG00000196126	HLA DRB1 ENSG00000196126
HLA-E ENSG00000204592	HLA E ENSG00000204592
HLA-F ENSG00000204642	HLA F ENSG00000204642
MMP24.AS1 ENSG00000126005	MMP24 AS1 ENSG00000126005
NKX3.1 ENSG00000167034	NKX3 1 ENSG00000167034
RP11-231C14.4 ENSG00000169203	RP11 231C14 4 ENSG00000169203
RP11-347C12.1 ENSG00000198064	RP11 347C12 1 ENSG00000198064
RP11-382A20.3 ENSG00000166503	RP11 382A20 3 ENSG00000166503
